crs,range_min_x,range_min_y,range_max_x,range_max_y,width,height,undefined_values,file_name,errors
EPSG:25832,607000,5916000,607999,5916999,1000,1000,0,dgm1_32_607_5916_1_sh.cvf,0x0
EPSG:25832,608000,5916000,608999,5916999,1000,1000,0,dgm1_32_608_5916_1_sh.cvf,0x0
EPSG:25832,609000,5916000,609999,5916999,1000,1000,0,dgm1_32_609_5916_1_sh.cvf,0x0
EPSG:25832,593000,5917000,593999,5917999,1000,1000,0,dgm1_32_593_5917_1_sh.cvf,0x0
EPSG:25832,594000,5917000,594999,5917999,1000,1000,0,dgm1_32_594_5917_1_sh.cvf,0x0
EPSG:25832,595000,5917000,595999,5917999,1000,1000,0,dgm1_32_595_5917_1_sh.cvf,0x0
EPSG:25832,596000,5917000,596999,5917999,1000,1000,0,dgm1_32_596_5917_1_sh.cvf,0x0
EPSG:25832,597000,5917000,597999,5917999,1000,1000,0,dgm1_32_597_5917_1_sh.cvf,0x0
EPSG:25832,598000,5917000,598999,5917999,1000,1000,0,dgm1_32_598_5917_1_sh.cvf,0x0
EPSG:25832,599000,5917000,599999,5917999,1000,1000,0,dgm1_32_599_5917_1_sh.cvf,0x0
EPSG:25832,600000,5917000,600999,5917999,1000,1000,0,dgm1_32_600_5917_1_sh.cvf,0x0
EPSG:25832,601000,5917000,601999,5917999,1000,1000,0,dgm1_32_601_5917_1_sh.cvf,0x0
EPSG:25832,602000,5917000,602999,5917999,1000,1000,0,dgm1_32_602_5917_1_sh.cvf,0x0
EPSG:25832,603000,5917000,603999,5917999,1000,1000,0,dgm1_32_603_5917_1_sh.cvf,0x0
EPSG:25832,604000,5917000,604999,5917999,1000,1000,0,dgm1_32_604_5917_1_sh.cvf,0x0
EPSG:25832,605000,5917000,605999,5917999,1000,1000,0,dgm1_32_605_5917_1_sh.cvf,0x0
EPSG:25832,606000,5917000,606999,5917999,1000,1000,0,dgm1_32_606_5917_1_sh.cvf,0x0
EPSG:25832,607000,5917000,607999,5917999,1000,1000,0,dgm1_32_607_5917_1_sh.cvf,0x0
EPSG:25832,608000,5917000,608999,5917999,1000,1000,0,dgm1_32_608_5917_1_sh.cvf,0x0
EPSG:25832,609000,5917000,609999,5917999,1000,1000,0,dgm1_32_609_5917_1_sh.cvf,0x0
EPSG:25832,591000,5918000,591999,5918999,1000,1000,0,dgm1_32_591_5918_1_sh.cvf,0x0
EPSG:25832,592000,5918000,592999,5918999,1000,1000,0,dgm1_32_592_5918_1_sh.cvf,0x0
EPSG:25832,593000,5918000,593999,5918999,1000,1000,0,dgm1_32_593_5918_1_sh.cvf,0x0
EPSG:25832,594000,5918000,594999,5918999,1000,1000,0,dgm1_32_594_5918_1_sh.cvf,0x0
EPSG:25832,595000,5918000,595999,5918999,1000,1000,0,dgm1_32_595_5918_1_sh.cvf,0x0
EPSG:25832,596000,5918000,596999,5918999,1000,1000,0,dgm1_32_596_5918_1_sh.cvf,0x0
EPSG:25832,597000,5918000,597999,5918999,1000,1000,0,dgm1_32_597_5918_1_sh.cvf,0x0
EPSG:25832,598000,5918000,598999,5918999,1000,1000,0,dgm1_32_598_5918_1_sh.cvf,0x0
EPSG:25832,599000,5918000,599999,5918999,1000,1000,0,dgm1_32_599_5918_1_sh.cvf,0x0
EPSG:25832,600000,5918000,600999,5918999,1000,1000,0,dgm1_32_600_5918_1_sh.cvf,0x0
EPSG:25832,601000,5918000,601999,5918999,1000,1000,0,dgm1_32_601_5918_1_sh.cvf,0x0
EPSG:25832,602000,5918000,602999,5918999,1000,1000,0,dgm1_32_602_5918_1_sh.cvf,0x0
EPSG:25832,603000,5918000,603999,5918999,1000,1000,0,dgm1_32_603_5918_1_sh.cvf,0x0
EPSG:25832,604000,5918000,604999,5918999,1000,1000,0,dgm1_32_604_5918_1_sh.cvf,0x0
EPSG:25832,605000,5918000,605999,5918999,1000,1000,0,dgm1_32_605_5918_1_sh.cvf,0x0
EPSG:25832,606000,5918000,606999,5918999,1000,1000,0,dgm1_32_606_5918_1_sh.cvf,0x0
EPSG:25832,607000,5918000,607999,5918999,1000,1000,0,dgm1_32_607_5918_1_sh.cvf,0x0
EPSG:25832,608000,5918000,608999,5918999,1000,1000,0,dgm1_32_608_5918_1_sh.cvf,0x0
EPSG:25832,609000,5918000,609999,5918999,1000,1000,0,dgm1_32_609_5918_1_sh.cvf,0x0
EPSG:25832,591000,5919000,591999,5919999,1000,1000,0,dgm1_32_591_5919_1_sh.cvf,0x0
EPSG:25832,592000,5919000,592999,5919999,1000,1000,0,dgm1_32_592_5919_1_sh.cvf,0x0
EPSG:25832,593000,5919000,593999,5919999,1000,1000,0,dgm1_32_593_5919_1_sh.cvf,0x0
EPSG:25832,594000,5919000,594999,5919999,1000,1000,0,dgm1_32_594_5919_1_sh.cvf,0x0
EPSG:25832,595000,5919000,595999,5919999,1000,1000,0,dgm1_32_595_5919_1_sh.cvf,0x0
EPSG:25832,596000,5919000,596999,5919999,1000,1000,0,dgm1_32_596_5919_1_sh.cvf,0x0
EPSG:25832,597000,5919000,597999,5919999,1000,1000,0,dgm1_32_597_5919_1_sh.cvf,0x0
