"dgm_324736075_2005-10-15.xyz",1000000,8.579687,54.830402,8.595254,54.830455,8.595344,54.821469,8.579781,54.821416,0,0,-0.42,0
"dgm_326165999_2005-04-01.xyz",1000000,10.775492,54.135011,10.79079,54.134785,10.790403,54.125801,10.775108,54.126028,1.2,27.82,11.07,0
"dgm_325405974_2005-03-24.xyz",1000000,9.609089,53.921863,9.624315,53.921785,9.624181,53.912797,9.608958,53.912875,0,4.81,-0.45,0
"dgm_325885990_2006-02-14.xyz",1000000,10.344459,54.059701,10.359732,54.059529,10.359438,54.050544,10.344169,54.050715,34.64,51.62,41.04,0
"dgm_325676016_2023-02-19.xyz",1000000,10.029475,54.2965,10.044837,54.296368,10.04461,54.287382,10.02925,54.287514,8.18,27.04,13.43,0
"dgm_324975983_2005-04-04.xyz",1000000,8.954228,54.004291,8.969486,54.004295,8.969492,53.995307,8.954238,53.995303,0,7.62,1.88,0
"dgm_325035971_2005-04-06.xyz",1000000,9.045654,53.896435,9.060872,53.896428,9.060858,53.88744,9.045644,53.887447,0,1.46,-0.01,0
"dgm_324895988_2005-04-03.xyz",1000000,8.83199,54.049121,8.847264,54.049142,8.847297,54.040154,8.832026,54.040133,0,1.66,0.63,0
"dgm_326135966_2022-02-11.xyz",1000000,10.717354,53.839212,10.732544,53.838994,10.732173,53.83001,10.716986,53.830228,3.22,12.71,6.61,0
"dgm_325596066_2006-05-09.xyz",1000000,9.916578,54.746786,9.932111,54.746668,9.931905,54.737682,9.916376,54.7378,3.57,19.06,9.76,0
"dgm_325755969_2006-01-09.xyz",1000000,10.140728,53.873047,10.155934,53.872901,10.155686,53.863915,10.140483,53.86406,24.61,31.6,27.74,0
"dgm_325866014_2023-02-19.xyz",1000000,10.320764,54.275685,10.336117,54.275516,10.335826,54.266531,10.320476,54.2667,23.28,44.77,33.2,0
"dgm_325525944_2007-03-31.xyz",1000000,9.786738,53.651176,9.801866,53.651075,9.801696,53.642088,9.786571,53.642188,4.13,15.12,10.34,0
"dgm_324856059_2006-03-24.xyz",1000000,8.767317,54.687118,8.782829,54.687147,8.782877,54.67816,8.767368,54.678131,0,2.89,0.33,0
"dgm_325535998_2005-03-21.xyz",1000000,9.811211,54.136383,9.826515,54.136279,9.826336,54.127293,9.811035,54.127397,18.12,27.5,23.21,0
"dgm_325206050_2006-05-09.xyz",1000000,9.309628,54.606063,9.325109,54.606023,9.325038,54.597036,9.30956,54.597076,7.98,19.02,13.1,0
"dgm_325556034_2007-03-30.xyz",1000000,9.848445,54.459687,9.863869,54.459578,9.86368,54.450592,9.848259,54.450701,0,19.66,1.31,0
"dgm_325525981_2005-04-02.xyz",1000000,9.792991,53.983707,9.808239,53.983606,9.808065,53.974619,9.792821,53.97472,6.58,21.74,9.22,0
"dgm_325626032_2023-02-07.xyz",1000000,9.955994,54.440909,9.971411,54.440786,9.971198,54.4318,9.955785,54.431923,14.96,26.45,19.76,0
"dgm_326096022_2005-04-01.xyz",999999,10.676761,54.343169,10.692137,54.342954,10.691768,54.333971,10.676396,54.334186,0,0,-0.2,0
"dgm_326105956_2022-03-12.xyz",1000000,10.668212,53.750012,10.683371,53.7498,10.683012,53.740815,10.667856,53.741027,24.18,42.83,32.83,0
"dgm_324636079_2005-10-16.xyz",1000000,8.423511,54.865709,8.439091,54.865782,8.439216,54.856795,8.423639,54.856722,0.67,8.75,4.1,0
"dgm_324646061_2005-10-16.xyz",1000000,8.441325,54.704028,8.456843,54.704098,8.456963,54.695112,8.441449,54.695041,0.76,11.46,5.39,0
"dgm_325335952_2005-03-31.xyz",1000000,9.500143,53.724624,9.515298,53.72456,9.515188,53.715572,9.500036,53.715636,0,8.76,1.34,0
"dgm_324836057_2005-10-07.xyz",1000000,8.736409,54.669081,8.751914,54.669114,8.751969,54.660127,8.736467,54.660094,0,0.44,-0.52,0
"dgm_325106037_2006-02-24.xyz",1000000,9.154373,54.489528,9.169811,54.489508,9.169773,54.48052,9.154339,54.480541,4.18,16.3,9.6,0
"dgm_325655961_2022-03-10.xyz",1000000,9.986965,53.802501,10.002147,53.802375,10.001933,53.793388,9.986754,53.793514,35.28,54.55,42.19,0
"dgm_325535980_2005-04-02.xyz",1000000,9.808065,53.974619,9.82331,53.974515,9.823133,53.965528,9.807892,53.965632,18.29,29.18,24.68,0
"dgm_324985993_2005-04-04.xyz",1000000,8.96942,54.094174,8.98471,54.094177,8.984713,54.085189,8.969426,54.085186,0,3.07,0.96,0
"dgm_324706055_2005-10-15.xyz",1000000,8.53505,54.650502,8.550548,54.65056,8.550647,54.641573,8.535153,54.641515,0,0.01,-0.59,0
"dgm_325156033_2006-05-06.xyz",1000000,9.231356,54.453456,9.24678,54.453426,9.246726,54.444439,9.231306,54.444469,14.3,26.8,20.3,0
"dgm_324806085_2006-03-24.xyz",1000000,8.687962,54.920596,8.703563,54.920635,8.703629,54.911648,8.688031,54.911609,0,3.72,0.92,0
"dgm_324876028_2006-05-04.xyz",1000000,8.79971,54.408576,8.815117,54.4086,8.815157,54.399613,8.799754,54.399588,0,8.88,1.71,0
"dgm_326015953_2022-03-13.xyz",1000000,10.530798,53.724878,10.545949,53.724683,10.545619,53.715698,10.530472,53.715893,47.08,62.34,54.22,0
"dgm_325306063_2007-03-25.xyz",1000000,9.465772,54.722394,9.481297,54.722334,9.481191,54.713347,9.465669,54.713408,32,61.12,42.84,0
"dgm_324766013_2006-02-24.xyz",1000000,8.631445,54.273367,8.646801,54.273413,8.646878,54.264426,8.631525,54.26438,0,1.93,0.01,0
"dgm_325736040_2006-03-23.xyz",924321,10.127543,54.511143,10.14297,54.510998,10.142724,54.502202,10.127301,54.502346,0,0.28,-0.12,0
"dgm_325305997_2005-04-06.xyz",1000000,9.459094,54.129253,9.474397,54.129194,9.474294,54.120207,9.458995,54.120266,3.78,20.36,10.09,0
"dgm_324906003_2005-04-04.xyz",1000000,8.846767,54.183957,8.86209,54.183976,8.86212,54.174988,8.8468,54.17497,0,3.07,1.36,0
"dgm_325475971_2005-03-30.xyz",1000000,9.71521,53.894313,9.730426,53.894222,9.730269,53.885234,9.715057,53.885326,1.04,7.13,2.87,0
"dgm_325206052_2006-05-09.xyz",1000000,9.309765,54.624037,9.325253,54.623996,9.325181,54.615009,9.309696,54.61505,10.88,17.14,14.1,0
"dgm_325435993_2005-03-20.xyz",1000000,9.657453,54.092382,9.672742,54.092297,9.672596,54.08331,9.657311,54.083394,37.94,77.5,59.55,0
"dgm_325635967_2022-03-10.xyz",1000000,9.957831,53.856669,9.973033,53.856546,9.972824,53.847559,9.957626,53.847682,15.67,22.43,18.43,0
"dgm_325955983_2006-01-23.xyz",1000000,10.449179,53.995563,10.464428,53.995378,10.464113,53.986393,10.448867,53.986578,24.49,31.12,27.56,0
"dgm_326156008_2023-02-08.xyz",1000000,10.763632,54.216087,10.77896,54.215861,10.778574,54.206878,10.763249,54.207103,100.42,124.87,109.99,0
