     ars      |          gen           |                                   st_extent                                   
--------------+------------------------+-------------------------------------------------------------------------------
 000000000000 | Deutschland            | BOX(5.866250350714273 47.27012360470945,15.041815656468223 55.09916897710079)
 000000000000 | Deutschland (Bodensee) | BOX(9.030532938958046 47.5233575704212,9.731433657567573 47.81748197389002)
 --           | Österreich (Bodensee)  | BOX(9.55872043003449 47.48293312840284,9.753231305535621 47.54189315434665)
 --           | Schweiz (Bodensee)     | BOX(9.180708528053726 47.47807460319077,9.582293133309545 47.65870762971827)
(4 rows)

