    ars    |                           gen                           |                                    st_extent                                     
 064320001 | Alsbach-Hähnlein                                        | BOX(8.554042476335077 49.724894752128264,8.646422204339359 49.76667125362966)
 053340004 | Alsdorf                                                 | BOX(6.12159474612856 50.84197962734133,6.230164980581691 50.89415356690761)
 065350001 | Alsfeld                                                 | BOX(9.171133867425365 50.698576480797136,9.461065892989065 50.826559155707194)
 120665601 | Altdöbern                                               | BOX(13.833480076285657 51.54040066289953,14.217466864208726 51.71382690866095)
 092740113 | Altdorf                                                 | BOX(12.04003161657083 48.53508819551656,12.126555789298747 48.59026762555656)
 095740112 | Altdorf b. Nürnberg                                     | BOX(11.311262256407865 49.35335321276947,11.461458695562309 49.432946622054764)
 093755337 | Alteglofsheim                                           | BOX(12.167982572001257 48.841507708421624,12.262132904323215 48.93564774977406)
 059620004 | Altena                                                  | BOX(7.630525758147402 51.23903634599767,7.767944883253899 51.318195495930965)
 071315002 | Altenahr                                                | BOX(6.882098443327347 50.404065955486665,7.120126503954565 50.56573420623983)
 057740004 | Altenbeken                                              | BOX(8.874589186343062 51.6765139244725,9.000114873508625 51.80280790731412)
 146285201 | Altenberg                                               | BOX(13.598343895313526 50.7169238165126,13.902751591330015 50.83290080705192)
 055660004 | Altenberge                                              | BOX(7.401929561681269 51.99483251627361,7.556162346778491 52.08989447539363)
 160770001 | Altenburg                                               | BOX(12.37249817103397 50.922043192245305,12.495598778377829 51.034880294698105)
 094710111 | Altendorf                                               | BOX(10.969469797268808 49.78139904620216,11.049184215253735 49.81400961091226)
 010580005 | Altenholz                                               | BOX(10.070131116654963 54.36948596289227,10.1400148667122 54.42449983115692)
 071325010 | Altenkirchen-Flammersfeld                               | BOX(7.439151348459854 50.563870069353015,7.749981829392882 50.7487766225355)
 094780111 | Altenkunstadt                                           | BOX(11.175768495542606 50.08754929781827,11.320384594528525 50.145262729271174)
 091890111 | Altenmarkt a.d. Alz                                     | BOX(12.445034021060742 47.96853391936718,12.548069916318616 48.02833236542812)
 097720115 | Altenmünster                                            | BOX(10.52835539536433 48.419365062590906,10.645496550728804 48.49929727324609)
