  ars  |                gen                |                                    st_extent                                     
 03352 | Cuxhaven                          | BOX(8.482790262102275 53.28120400159071,9.298580249960786 53.89231951015175)
 09174 | Dachau                            | BOX(11.11030815564861 48.201636770586305,11.582059013058265 48.455535313026104)
 12061 | Dahme-Spreewald                   | BOX(13.41095370430888 51.7270387511543,14.453413701195993 52.42062443642298)
 06411 | Darmstadt                         | BOX(8.561826645850209 49.795836408705185,8.749672826573951 49.95420812943444)
 06432 | Darmstadt-Dieburg                 | BOX(8.519753593504971 49.7221755965585,9.050452507068698 50.00181433385901)
 09271 | Deggendorf                        | BOX(12.749635787530135 48.59890400770499,13.259291975337575 48.957035984015555)
 03401 | Delmenhorst                       | BOX(8.578331076650075 52.98643350611028,8.711423918535598 53.1091808189724)
 15001 | Dessau-Roßlau                     | BOX(12.112072376790772 51.73381396322849,12.351498418290104 51.97073747756139)
 03251 | Diepholz                          | BOX(8.293795224086843 52.44363887841091,9.116174615777272 53.053406972050006)
 09773 | Dillingen a.d. Donau              | BOX(10.254379812482055 48.47110153008486,10.785733245976568 48.7575970873589)
 09279 | Dingolfing-Landau                 | BOX(12.324201086055627 48.480463083035524,12.967381037018754 48.799430467858045)
 01051 | Dithmarschen                      | BOX(8.678873181252126 53.87750823641103,9.444421476116247 54.378994258258416)
 09779 | Donau-Ries                        | BOX(10.401479997047911 48.58408214765863,11.041621690612589 49.035983179234)
 07333 | Donnersbergkreis                  | BOX(7.696266451564306 49.48931667016032,8.161156895810906 49.765790429423014)
 05913 | Dortmund                          | BOX(7.302310587279778 51.41557979268305,7.637932719277781 51.59952017917113)
 14612 | Dresden                           | BOX(13.579721093821489 50.97518428025996,13.965849226642419 51.17770380659125)
 05112 | Duisburg                          | BOX(6.625616443645653 51.33319859065919,6.830459998176222 51.560220016593355)
 05358 | Düren                             | BOX(6.193547473252027 50.598222103986814,6.718075151273229 51.04661063270783)
 05111 | Düsseldorf                        | BOX(6.689822638810091 51.12439372034153,6.939965353893811 51.35144623125037)
 09175 | Ebersberg                         | BOX(11.747778076053322 47.9312316425222,12.100284852226878 48.22685574109652)
 16061 | Eichsfeld                         | BOX(9.923293275182294 51.19064915736978,10.539746432886377 51.59253297883416)
 09176 | Eichstätt                         | BOX(10.936839309284853 48.732764169156255,11.744115296556156 49.08770130853198)
 07232 | Eifelkreis Bitburg-Prüm           | BOX(6.11235482577163 49.810445302754125,6.728175807695151 50.32454474756911)
 12062 | Elbe-Elster                       | BOX(13.051025246894053 51.3676152746209,13.89025862381071 51.88614284646321)
 03402 | Emden                             | BOX(6.999446639690555 53.320208977832486,7.31139871283601 53.408699420187894)
 08316 | Emmendingen                       | BOX(7.576981639838574 48.00815761859506,8.18758207459256 48.26049874375705)
 03454 | Emsland                           | BOX(6.995277602359717 52.28027224375055,7.832056270721912 53.11753942740848)
