     ars      |                 gen                  |                                    st_extent                                     
 055700004004 | Ahlen                                | BOX(7.788250518721867 51.70036404357951,7.991331552437824 51.83138252400321)
 033595403002 | Ahlerstedt                           | BOX(9.356844013487596 53.34528092160232,9.517853367393657 53.449984134829386)
 150875052010 | Ahlsdorf                             | BOX(11.421003221682755 51.53839271736195,11.477120536090306 51.56295006153015)
 160695002001 | Ahlstädt                             | BOX(10.672670342999393 50.518340818146925,10.70181760712725 50.53658615391563)
 066330001001 | Ahnatal                              | BOX(9.351785892531263 51.34768738139511,9.444891157212133 51.38558524105807)
 010595990102 | Ahneby                               | BOX(9.709315187338234 54.69486273036211,9.749048388800817 54.715675740815406)
 033515403002 | Ahnsbeck                             | BOX(10.242335689445136 52.58244776732614,10.354613680389413 52.63107540301548)
 032575401001 | Ahnsen                               | BOX(9.080288395514238 52.2447540839347,9.118866731483857 52.26647278350616)
 092785250112 | Aholfing                             | BOX(12.43817332756708 48.90866652358912,12.521139577184824 48.966501475866416)
 092710111111 | Aholming                             | BOX(12.84321959749947 48.70442772865424,12.938150594181366 48.768937937228245)
 081285002138 | Ahorn                                | BOX(9.491559382277599 49.43925478086717,9.596737734715468 49.55629911420051)
 094730112112 | Ahorn                                | BOX(10.854953000572864 50.19867030600112,10.97915951685773 50.24444476874389)
 094720111111 | Ahorntal                             | BOX(11.34262093143775 49.80243763969611,11.4865568004431 49.87700613861557)
 071315002002 | Ahrbrück                             | BOX(6.937653012195519 50.456446721408085,7.019065953743487 50.50389907932608)
 010550001001 | Ahrensbök                            | BOX(10.448242831984237 53.936867394159016,10.654758380452824 54.074951557520464)
 010620001001 | Ahrensburg                           | BOX(10.169759338811819 53.633503087431755,10.31476780097348 53.7066856849198)
 120600005005 | Ahrensfelde                          | BOX(13.496752284956502 52.544235577101205,13.685938933615576 52.65458339340749)
 130735361001 | Ahrenshagen-Daskow                   | BOX(12.489178446430326 54.18842211200819,12.653772632796294 54.284918719627925)
 010545494002 | Ahrenshöft                           | BOX(9.039966138334906 54.550364092784704,9.115333294786113 54.57191178119432)
 130735354002 | Ahrenshoop                           | BOX(12.390761034508799 54.35627015618534,12.449918276437861 54.39840634664292)
 010545453003 | Ahrenviöl                            | BOX(9.175812663662448 54.51645644773782,9.252364047960695 54.54792080401531)
 010545453004 | Ahrenviölfeld                        | BOX(9.247398561477507 54.51942953043203,9.304170382583777 54.54697191929949)
 097710113113 | Aichach                              | BOX(11.011713818399617 48.39703461608585,11.214343543061826 48.5023576996176)
 092750111111 | Aicha vorm Wald                      | BOX(13.253715386804478 48.6557941391934,13.362956372591754 48.70330763999071)
 081175009002 | Aichelberg                           | BOX(9.534768896282122 48.616526333147995,9.595545199910818 48.641205276416166)
 097745733166 | Aichen                               | BOX(10.510269662224246 48.198584608574386,10.574029149828785 48.26319449482049)
 083255005001 | Aichhalden                           | BOX(8.377651432473375 48.24255144601118,8.444734077978637 48.324301961939085)
 084365004003 | Aichstetten                          | BOX(9.998817759742744 47.862136101447845,10.110414155490323 47.92322618999349)
 081160081081 | Aichtal                              | BOX(9.143859654192644 48.604055288290255,9.29384185395733 48.651195562054056)
 081160076076 | Aichwald                             | BOX(9.344680998876942 48.74385916104616,9.419220309863979 48.788203981026605)
 092755232112 | Aidenbach                            | BOX(12.998194311871895 48.53134699285009,13.112425034072281 48.579302878248036)
 096745612111 | Aidhausen                            | BOX(10.392973193571233 50.12114889289594,10.516139735538713 50.2010856359994)
 081155001001 | Aidlingen                            | BOX(8.817887157590452 48.65437825313087,8.929995745903561 48.71001784403959)
 092735219113 | Aiglsbach                            | BOX(11.653470773316444 48.648235537600826,11.761355932614267 48.722572228139256)
 071435009200 | Ailertchen                           | BOX(7.923816318121545 50.58632796126517,7.971887660466797 50.62725597861855)
 097715701114 | Aindling                             | BOX(10.936933002531319 48.46803413015158,11.034467145670352 48.549673409961706)
 091720111111 | Ainring                              | BOX(12.87330763050037 47.77944056543301,12.978790916633907 47.8513486533287)
 097735719111 | Aislingen                            | BOX(10.422164331920408 48.47977461780508,10.489212869756942 48.539808665575535)
 092785256113 | Aiterhofen                           | BOX(12.57833908384549 48.81882715676299,12.733740310422812 48.90729012317253)
 083365006004 | Aitern                               | BOX(7.841924190729618 47.79757166335748,7.903825704346215 47.83894328915751)
 084365004004 | Aitrach                              | BOX(9.99479319581228 47.90351108408735,10.111105704477023 47.98122859277997)
 097775752111 | Aitrang                              | BOX(10.466804344337937 47.791290731877694,10.559693123266143 47.8615286176935)
 150820005005 | Aken (Elbe)                          | BOX(11.954835654632369 51.79907092085106,12.14394389870244 51.87933834060877)
 150905053003 | Aland                                | BOX(11.55209003031053 52.89706822792185,11.753752915599796 53.04179848863356)
 091875184186 | Albaching                            | BOX(12.073505644025417 48.08196179046404,12.150003160692831 48.132006711430314)
 083370002002 | Albbruck                             | BOX(8.071050079349341 47.582659333039416,8.167254842253998 47.67024892088794)
 010515175001 | Albersdorf                           | BOX(9.242695226890445 54.11063581400634,9.313768693804542 54.160235384271175)
 160745053001 | Albersdorf                           | BOX(11.75574353229612 50.893628127426624,11.786625502610583 50.91024930019443)
 081175010003 | Albershausen                         | BOX(9.534740297614496 48.671486496027036,9.579013086946247 48.703920539247335)
 073375001001 | Albersweiler                         | BOX(7.880695794462255 49.207359192270864,8.044747120559908 49.283109212511754)
 096755617112 | Albertshofen                         | BOX(10.153505536452444 49.75786474934728,10.188115898747421 49.78495806856171)
 073365010002 | Albessen                             | BOX(7.307331807757742 49.50655383061867,7.351684307959006 49.52821512688375)
 073315001001 | Albig                                | BOX(8.09816426354134 49.762164403006366,8.159061304747892 49.79400191825238)
