"adv_id","beginnt","land","regierungsbezirk","kreis","gemeinde","gemarkungsnummer","flurnummer","nenner","zaehler","abweichender_rechtszustand","wkt_geometry"
"DESHPDHK00035RrH","2020-10-02T11:19:04Z","01","0","54","093","1559","7","","189","false","Polygon((487701.734 6056882.334,487875.412 6056812.191,488105.7 6056719.193,488125.952 6056708.427,488187.329 6056688.956,488234.521 6056673.863,488247.096 6056669.575,488262.63 6056663.818,488283.902 6056655.132,488305.354 6056645.546,488320.288 6056637.94,488336.312 6056631.113,488348.318 6056625.136,488360.423 6056619.998,488371.299 6056614.571,488410.454 6056593.76,488422.329 6056587.364,488433.145 6056580.597,488439.902 6056575.419,488448.049 6056567.833,488455.046 6056559.736,488461.614 6056550.58,488466.542 6056542.594,488470.65 6056532.988,488473.898 6056521.623,488475.427 6056513.627,488476.336 6056493.875,488476.695 6056474.523,488477.334 6056453.702,488482.162 6056438.199,488490.518 6056421.076,488502.383 6056405.444,488514.258 6056393.349,488526.734 6056383.435,488538.559 6056375.589,488552.834 6056368.363,488569.207 6056363.376,488586.821 6056363.028,488608.953 6056365.028,488622.418 6056365.629,488639.802 6056364.641,488655.976 6056363.003,488667.602 6056360.804,488681.577 6056357.457,488691.963 6056354.129,488707.067 6056348.483,488755.759 6056328.596,488806.23 6056308.479,488825.033 6056300.904,488838.368 6056295.538,488869.466 6056282.996,488913.24 6056265.288,488925.165 6056258.563,488940.029 6056252.117,488983.103 6056230.491,488995.329 6056226.874,489004.695 6056223.126,489014.551 6056216.759,489028.776 6056210.611,489038.722 6056204.244,489043.441 6056210.521,489058.796 6056230.95,489058.886 6056231.07,489059.865 6056232.369,489067.643 6056242.713,489068.473 6056244.912,489069.372 6056247.301,489068.643 6056248.041,489045.751 6056259.366,489032.087 6056265.904,489022.36 6056270.392,489009.115 6056275.89,488973.309 6056290.061,488924.017 6056309.428,488886.931 6056323.978,488847.696 6056339.358,488824.555 6056348.552,488814.129 6056353.129,488804.862 6056357.666,488796.175 6056362.623,488775.243 6056375.645,488749.263 6056392.286,488738.558 6056399.052,488730.271 6056403.649,488723.483 6056406.748,488715.416 6056409.646,488707.149 6056411.924,488698.583 6056413.403,488690.096 6056413.572,488681.449 6056413.742,488665.564 6056412.341,488632.576 6056409.65,488592.651 6056406.589,488586.583 6056406.569,488578.386 6056407.538,488572.718 6056408.887,488564.621 6056411.725,488557.284 6056415.443,488550.157 6056420.16,488543.669 6056425.408,488537.621 6056431.125,488532.004 6056437.812,488527.476 6056445.178,488524.077 6056452.865,488521.718 6056461.001,488520.209 6056469.468,488519.57 6056477.824,488519.25 6056489.409,488518.881 6056500.764,488518.162 6056509.281,488517.472 6056513.769,488516.882 6056517.717,488515.193 6056526.233,488514.584 6056529.242,488511.745 6056540.147,488509.006 6056548.294,488505.788 6056556.36,488501.98 6056564.176,488496.242 6056574.392,488489.225 6056584.038,488481.838 6056592.874,488473.961 6056601.16,488467.454 6056607.017,488460.816 6056612.435,488453.659 6056617.502,488446.342 6056621.99,488438.745 6056626.098,488432.637 6056629.267,488415.734 6056638.053,488390.383 6056651.096,488370.821 6056661.102,488357.296 6056668.049,488337.944 6056677.894,488324.159 6056684.741,488312.553 6056690.179,488296.31 6056697.525,488279.906 6056704.542,488270.509 6056708.221,488260.313 6056711.859,488249.787 6056715.138,488196.427 6056732.12,488129.982 6056753.431,488085.179 6056767.715,488056.21 6056777.031,488047.643 6056780.14,488033.649 6056785.788,488014.936 6056793.135,488001.991 6056797.913,487982.659 6056804.823,487965.836 6056811.032,487956.489 6056814.862,487906.52 6056838.349,487906.161 6056838.469,487888.948 6056845.718,487888.948 6056845.978,487856.261 6056860.696,487846.036 6056865.406,487832.661 6056871.565,487826.474 6056877.673,487821.776 6056883.572,487812.22 6056895.588,487806.453 6056903.226,487803.094 6056909.974,487797.997 6056927.419,487793.41 6056945.123,487790.032 6056959.038,487787.733 6056970.204,487786.514 6056978.501,487785.555 6056986.849,487784.196 6057002.124,487783.427 6057014.04,487783.217 6057021.398,487783.538 6057031.015,487784.849 6057060.345,487785.06 6057070.102,487784.95 6057074.801,487784.461 6057083.968,487783.242 6057096.254,487782.013 6057105.432,487780.255 6057114.829,487773.769 6057138.992,487771.151 6057149.549,487769.572 6057156.677,487768.103 6057164.844,487767.234 6057172.532,487767.224 6057180.33,487767.545 6057194.935,487767.566 6057205.652,487767.296 6057213.369,487766.628 6057228.125,487763.532 6057280.619,487760.876 6057327.044,487758.58 6057363.563,487758.141 6057375.609,487758.161 6057384.037,487758.491 6057389.185,487760.211 6057392.294,487762.26 6057396.313,487747.955 6057387.106,487743.667 6057384.348,487742.377 6057382.368,487725.172 6057355.808,487694.661 6057308.705,487700.014 6057234.528,487705.488 6057171.888,487716.795 6057041.588,487722.609 6056974.119,487724.987 6056947.829,487725.197 6056945.489,487725.587 6056941.011,487719.168 6056925.227,487718.759 6056924.208,487701.734 6056882.334))"
"DESHPDHK00035RrW","2020-10-02T11:19:04Z","01","0","54","093","1559","7","","196","false","Polygon((487464.2 6056921.484,487467.758 6056914.207,487516.665 6056821.855,487525.771 6056805.43,487532.378 6056794.124,487541.044 6056780.778,487551.399 6056766.662,487561.914 6056752.996,487568.391 6056745.338,487581.565 6056731.191,487599.078 6056713.966,487612.132 6056702.868,487622.748 6056694.48,487632.823 6056686.852,487644.198 6056679.074,487660.671 6056668.885,487685.871 6056654.288,487704.723 6056643.55,487732.271 6056628.392,487745.426 6056625.172,487770.765 6056611.644,487774.803 6056609.044,487779.192 6056617.151,487858.516 6056763.79,487874.601 6056783.262,487878.65 6056794.108,487880.009 6056797.766,487873.552 6056807.663,487875.412 6056812.191,487701.734 6056882.334,487688.089 6056887.844,487686.84 6056888.344,487685.75 6056889.184,487682.562 6056891.623,487658.902 6056902.571,487658.862 6056902.601,487585.492 6056936.027,487520.239 6056965.073,487478.007 6056983.87,487484.004 6056970.754,487486.483 6056964.926,487487.342 6056957.509,487487.362 6056957.389,487487.402 6056956.949,487487.292 6056954.39,487487.052 6056949.142,487483.013 6056940.295,487479.354 6056936.037,487478.594 6056935.158,487475.796 6056933.649,487475.136 6056933.289,487467.619 6056929.221,487461.701 6056926.603,487464.2 6056921.484))"
"DESHPDHK00035RsL","2020-10-02T11:19:04Z","01","0","54","093","1559","8","","1","false","Polygon((487735.015 6057920.22,487729.378 6057930.267,487726.929 6057935.356,487716.316 6057986.1,487708.073 6058032.614,487691.555 6058124.629,487685.937 6058124.46,487676.95 6058124.18,487669.653 6058123.95,487650.071 6058123.341,487611.505 6058122.153,487613.494 6058111.137,487622.317 6058062.315,487640.793 6057960.091,487651.216 6057902.439,487653.605 6057902.699,487654.144 6057899.94,487658.743 6057900.529,487660.641 6057892.212,487661.461 6057888.633,487662.43 6057884.414,487663.469 6057877.426,487664.968 6057867.34,487665.767 6057851.924,487673.58 6057793.233,487677.731 6057681.798,487674.203 6057681.758,487667.525 6057681.679,487673.016 6057567.355,487678.33 6057513.381,487680.028 6057489.209,487677.437 6057446.963,487683.368 6057343.775,487693.115 6057356.37,487743.819 6057413.499,487755.715 6057427.363,487758.334 6057430.422,487773.26 6057448.496,487773.77 6057460.472,487769.042 6057464.951,487768.403 6057467.25,487764.916 6057499.29,487758.012 6057553.014,487754.658 6057621.023,487750.665 6057701.908,487745.782 6057786.471,487744.905 6057814.963,487741.778 6057846.453,487735.015 6057920.22))"
"DESHPDHK00035Ru3","2022-06-27T09:06:29Z","01","0","54","093","1559","8","","80","false","Polygon((487686.024 6057297.519,487694.661 6057308.705,487725.172 6057355.808,487742.377 6057382.368,487743.667 6057384.348,487747.955 6057387.106,487762.26 6057396.313,487773.26 6057448.496,487758.334 6057430.422,487755.715 6057427.363,487743.819 6057413.499,487693.115 6057356.37,487683.368 6057343.775,487683.507 6057341.276,487684.077 6057331.299,487684.137 6057330.189,487685.794 6057301.578,487686.024 6057297.519))"
"DESHPDHK00035RxC","2016-02-02T07:20:40Z","01","0","54","093","1559","12","4","26","false","Polygon((487435.61 6057948.892,487348.459 6058046.021,487306.619 6058092.645,487299.452 6058095.244,487326.589 6058065.174,487366.49 6058020.95,487412.32 6057970.056,487463.697 6057913.013,487469.494 6057907.235,487476.571 6057901.626,487485.988 6057896.498,487498.792 6057891.029,487510.518 6057887.749,487518.405 6057886.42,487528.481 6057886.289,487654.144 6057899.94,487653.605 6057902.699,487651.216 6057902.439,487528.931 6057889.178,487507.869 6057890.919,487488.717 6057898.117,487471.814 6057908.534,487467.576 6057913.263,487435.61 6057948.892))"
"DESHPDHK00035RxL","2016-02-02T07:20:40Z","01","0","54","093","1559","12","2","26","false","Polygon((486734.691 6058723.411,486748.594 6058707.687,486799.059 6058651.697,486879.069 6058563.659,486908.944 6058531.131,487029.114 6058397.25,487122.407 6058292.936,487123.778 6058302.572,487121.449 6058303.502,487118.53 6058305.251,487028.974 6058404.627,487005.196 6058431.308,486947.286 6058496.284,486905.287 6058542.917,486878.61 6058572.866,486873.913 6058578.134,486808.605 6058651.457,486804.617 6058656.015,486769.804 6058694.691,486739.289 6058728.609,486736.251 6058732.427,486729.623 6058729.019,486734.691 6058723.411))"
"DESHPDHK00035RxM","2016-02-02T07:20:40Z","01","0","54","093","1559","12","","18","false","Polygon((487122.407 6058292.936,487153.992 6058257.638,487158.699 6058252.37,487159.46 6058260.716,487166.234 6058334.738,487166.734 6058340.206,487169.365 6058356.91,487173.634 6058373.094,487179.614 6058391.536,487195.421 6058426.033,487197.48 6058430.301,487242.22 6058519.416,487257.887 6058553.783,487267.665 6058577.713,487280.953 6058615.429,487286.232 6058625.804,487294.669 6058638.759,487303.437 6058649.605,487314.923 6058659.581,487326.329 6058667.547,487344.092 6058677.593,487363.485 6058687.039,487376.99 6058694.095,487405.11 6058712.248,487417.436 6058722.183,487446.086 6058747.383,487459.672 6058759.518,487468.339 6058767.574,487481.494 6058779.359,487483.553 6058780.759,487495.389 6058788.855,487507.545 6058794.083,487514.422 6058797.082,487514.532 6058800.49,487515.294 6058824.191,487515.554 6058832.268,487515.845 6058841.315,487516.326 6058856.209,487516.596 6058860.547,487518.105 6058863.706,487518.535 6058867.355,487520.676 6058885.448,487521.336 6058891.016,487521.296 6058895.194,487517.848 6058901.352,487504.863 6058893.855,487484.901 6058889.868,487469.187 6058884.1,487456.242 6058875.344,487439.218 6058861.65,487432.11 6058851.384,487424.152 6058836.09,487407.486 6058796.536,487403.287 6058786.62,487391.23 6058766.777,487379.924 6058751.614,487367.688 6058739.459,487356.742 6058730.252,487299.352 6058695.168,487266.154 6058670.688,487256.427 6058660.183,487251.208 6058649.917,487236.09 6058609.103,487217.823 6058559.762,487199.337 6058519.208,487190.219 6058501.765,487181.372 6058486.141,487151.248 6058425.385,487139.33 6058392.008,487132.13 6058366.987,487128.82 6058345.985,487126.198 6058319.645,487123.778 6058302.572,487122.407 6058292.936))"
"DESHPDHK00035RxQ","2020-10-02T11:19:04Z","01","0","54","093","1559","13","","2","false","Polygon((484967.174 6059304.772,484968.134 6059302.863,484973.611 6059297.445,484976.45 6059294.635,484979.089 6059293.666,484981.698 6059293.706,484983.517 6059294.695,484984.957 6059296.105,484997.933 6059313.209,485135.543 6059456.19,485284.048 6059606.925,485290.596 6059610.734,485283.429 6059623.899,485126.497 6059465.097,484986.687 6059324.286,484969.184 6059311.22,484967.604 6059309.301,484966.894 6059307.061,484967.174 6059304.772))"
"DESHPDHK00035RxR","2020-10-02T11:19:04Z","01","0","54","093","1559","13","","3","false","Polygon((484960.846 6059284.459,484963.715 6059281.62,484976.45 6059294.635,484973.611 6059297.445,484968.134 6059302.863,484955.368 6059289.877,484960.846 6059284.459))"
"DESHPDHK00035RxS","2023-12-11T10:04:30Z","01","0","54","093","1559","13","","6","false","Polygon((484294.132 6059450.882,484292.543 6059455.06,484290.604 6059457.189,484288.195 6059458.819,484285.486 6059460.028,484282.637 6059460.818,484279.728 6059461.188,484276.779 6059461.168,484273.821 6059460.748,484278.978 6059449.862,484294.132 6059450.882))"
